class_name,model_name,precision,recall,f1-score,support
Pigmented Benign Keratosis,efficientnet_b0,0.8444444444444444,0.7916666666666666,0.8172043010752689,96.0
Pityriasis Rosea,efficientnet_b0,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
Porokeratosis Actinic,efficientnet_b0,0.9629629629629629,1.0,0.9811320754716981,26.0
Psoriasis,efficientnet_b0,0.6875,0.8148148148148148,0.7457627118644068,27.0
Seborrheic keratosis,efficientnet_b0,0.8,0.75,0.7741935483870968,16.0
Squamous cell carcinoma,efficientnet_b0,0.5849056603773585,0.775,0.6666666666666666,40.0
Tinea Corporis,efficientnet_b0,0.875,0.6086956521739131,0.717948717948718,23.0
Tinea Nigra,efficientnet_b0,0.9545454545454546,0.875,0.9130434782608695,24.0
Tungiasis,efficientnet_b0,0.84375,1.0,0.9152542372881356,27.0
Vascular lesion,efficientnet_b0,0.9354838709677419,1.0,0.9666666666666667,29.0
accuracy,efficientnet_b0,0.7947686116700201,0.7947686116700201,0.7947686116700201,0.7947686116700201
macro avg,efficientnet_b0,0.8013932199336781,0.8134082492238951,0.8022059159722431,994.0
weighted avg,efficientnet_b0,0.8094709522227657,0.7947686116700201,0.7958958890504777,994.0
